Sent,Tags,Item_Id,Condition,surprisal
जिसने,RCPn,3,b,0.00896
धीरे-धीरे,PreRCVerb,3,b,0.14371
चुनी,RCVerb,3,b,0.99632
थीं,RCVerb,3,b,0.00346
सब्जीयाँ,RCObj,3,b,0.18865
मेरे,PreMainVerb,3,b,0.50795
मुहल्ले,PreMainVerb,3,b,0.23931
में,PreMainVerb,3,b,0.14898
रहता,MainVerb,3,b,0.71417
है।,MainVerb,3,b,0.79093
वह,NP1,3,c,0.00071
सब्जीयाँ,NP1,3,c,0.20154
जिनको,RCPn,3,c,0.00893
उस,RCSubj,3,c,0.02087
आदमी,RCSubj,3,c,0.65378
ने,RCSubj,3,c,0.01345
धीरे-धीरे,PreRCVerb,3,c,0.07217
चुना,RCVerb,3,c,1.17949
था,RCVerb,3,c,0.00335
बहुत,PreMainVerb,3,c,0.14205
महंगी,PreMainVerb,3,c,0.21797
हैं।,MainVerb,3,c,0.42345
वह,NP1,3,d,0.00071
सब्जीयाँ,NP1,3,d,0.20154
जिनको,RCPn,3,d,0.00893
धीरे-धीरे,PreRCVerb,3,d,0.14385
चुना,RCVerb,3,d,0.99341
था,RCVerb,3,d,0.00335
उस,RCSubj,3,d,0.23124
आदमी,RCSubj,3,d,0.22103
ने,RCSubj,3,d,0.16311
बहुत,PreMainVerb,3,d,0.62796
महंगी,PreMainVerb,3,d,0.27065
हैं।,MainVerb,3,d,0.42345
वह,NP1,4,a,0.00071
बच्ची,NP1,4,a,0.20169
जिसने,RCPn,4,a,0.00892
मिठाई,RCObj,4,a,0.07692
आराम,PreRCVerb,4,a,0.92618
से,PreRCVerb,4,a,0.01338
खायी,RCVerb,4,a,1.28637
थी,RCVerb,4,a,0.00221
मेरी,PreMainVerb,4,a,0.19706
बहन,PreMainVerb,4,a,0.17539
है।,MainVerb,4,a,0.56828
वह,NP1,4,b,0.00071
बच्ची,NP1,4,b,0.20169
जिसने,RCPn,4,b,0.00892
आराम,PreRCVerb,4,b,1.17045
से,PreRCVerb,4,b,0.01315
खायी,RCVerb,4,b,1.01659
थी,RCVerb,4,b,0.00221
मिठाई,RCObj,4,b,0.12823
मेरी,PreMainVerb,4,b,0.48134
बहन,PreMainVerb,4,b,0.17893
है।,MainVerb,4,b,0.56828
वह,NP1,4,c,0.00071
मिठाई,NP1,4,c,0.20173
जिसको,RCPn,4,c,0.00893
उस,RCSubj,4,c,0.02087
बच्ची,RCSubj,4,c,0.65471
ने,RCSubj,4,c,0.01344
आराम,PreRCVerb,4,c,0.67574
से,PreRCVerb,4,c,0.0141
खाया,RCVerb,4,c,1.56853
था,RCVerb,4,c,0.00219
बहुत,PreMainVerb,4,c,0.1018
मीठी,PreMainVerb,4,c,0.17552
होती,MainVerb,4,c,0.22585
है।,MainVerb,4,c,0.61355
वह,NP1,4,d,0.00071
मिठाई,NP1,4,d,0.20173
जिसको,RCPn,4,d,0.00893
आराम,PreRCVerb,4,d,1.16989
से,PreRCVerb,4,d,0.01315
खाया,RCVerb,4,d,1.01627
था,RCVerb,4,d,0.00219
उस,RCSubj,4,d,0.20978
बच्ची,RCSubj,4,d,0.16068
ने,RCSubj,4,d,0.16322
बहुत,PreMainVerb,4,d,0.58744
मीठी,PreMainVerb,4,d,0.22821
होती,MainVerb,4,d,0.22585
है।,MainVerb,4,d,0.61355
वह,NP1,5,a,0.00071
औरत,NP1,5,a,0.20173
जिसने,RCPn,5,a,0.00892
नाव,RCObj,5,a,1.17051
पिछले,PreRCVerb,5,a,0.04424
हफ्ते,PreRCVerb,5,a,0.65226
खरीदी,RCVerb,5,a,1.22938
थी,RCVerb,5,a,0.00454
इस,PreMainVerb,5,a,0.30127
गाँव,PreMainVerb,5,a,0.28168
की,PreMainVerb,5,a,0.1402
सरपंच,PreMainVerb,5,a,0.78278
है।,MainVerb,5,a,0.80747
वह,NP1,5,b,0.00071
औरत,NP1,5,b,0.20173
जिसने,RCPn,5,b,0.00892
पिछले,PreRCVerb,5,b,0.08825
हफ्ते,PreRCVerb,5,b,0.96335
खरीदी,RCVerb,5,b,1.29103
थी,RCVerb,5,b,0.00454
नाव,RCObj,5,b,0.24534
इस,PreMainVerb,5,b,0.58515
गाँव,PreMainVerb,5,b,0.28457
की,PreMainVerb,5,b,0.1402
सरपंच,PreMainVerb,5,b,0.78278
है।,MainVerb,5,b,0.80747
वह,NP1,5,c,0.00071
नाव,NP1,5,c,0.20195
जिसको,RCPn,5,c,0.00895
उस,RCSubj,5,c,0.02087
औरत,RCSubj,5,c,0.65454
ने,RCSubj,5,c,0.01345
पिछले,PreRCVerb,5,c,0.03238
हफ्ते,PreRCVerb,5,c,0.52696
खरीदा,RCVerb,5,c,1.54982
था,RCVerb,5,c,0.00449
बहुत,PreMainVerb,5,c,0.18074
प्रसिद्ध,PreMainVerb,5,c,0.25955
है।,MainVerb,5,c,0.23979
वह,NP1,5,d,0.00071
नाव,NP1,5,d,0.20195
जिसको,RCPn,5,d,0.00895
पिछले,PreRCVerb,5,d,0.08833
हफ्ते,PreRCVerb,5,d,0.96398
खरीदा,RCVerb,5,d,1.28902
था,RCVerb,5,d,0.00449
उस,RCSubj,5,d,0.25628
औरत,RCSubj,5,d,0.27769
ने,RCSubj,5,d,0.16328
बहुत,PreMainVerb,5,d,0.65294
﻿प्रसिद्ध,PreMainVerb,5,d,0.31744
है।,MainVerb,5,d,0.24293
वह,NP1,6,a,0.00071
लड़की,NP1,6,a,0.2015
जिसने,RCPn,6,a,0.00893
कविता,RCObj,6,a,1.17029
सारे,PreRCVerb,6,a,0.04724
लोगो,PreRCVerb,6,a,0.58727
के,PreRCVerb,6,a,0.00897
सामने,PreRCVerb,6,a,0.15843
गायी,RCVerb,6,a,1.24424
थी,RCVerb,6,a,0.00334
बहुत,PreMainVerb,6,a,0.14075
गरीब,PreMainVerb,6,a,0.2169
है।,MainVerb,6,a,0.21225
वह,NP1,6,b,0.00071
लड़की,NP1,6,b,0.2015
जिसने,RCPn,6,b,0.00893
सारे,PreRCVerb,6,b,0.07308
लोगो,PreRCVerb,6,b,0.86915
के,PreRCVerb,6,b,0.00873
सामने,PreRCVerb,6,b,0.15528
गायी,RCVerb,6,b,1.30608
थी,RCVerb,6,b,0.00334
कविता,RCObj,6,b,0.18623
बहुत,PreMainVerb,6,b,0.46383
गरीब,PreMainVerb,6,b,0.21968
है।,MainVerb,6,b,0.21225
वह,NP1,6,c,0.00071
कविता,NP1,6,c,0.2018
जिसको,RCPn,6,c,0.00895
उस,RCSubj,6,c,0.02087
लड़की,RCSubj,6,c,0.6551
ने,RCSubj,6,c,0.01344
सारे,PreRCVerb,6,c,0.03474
लोगो,PreRCVerb,6,c,0.50327
के,PreRCVerb,6,c,0.00897
सामने,PreRCVerb,6,c,0.15843
गाया,RCVerb,6,c,1.56579
था,RCVerb,6,c,0.00331
काफी,PreMainVerb,6,c,0.17611
पुरानी,PreMainVerb,6,c,0.21853
है।,MainVerb,6,c,0.21555
वह,NP1,6,d,0.00071
कविता,NP1,6,d,0.2018
जिसको,RCPn,6,d,0.00895
सारे,PreRCVerb,6,d,0.07314
लोगो,PreRCVerb,6,d,0.86971
के,PreRCVerb,6,d,0.00873
सामने,PreRCVerb,6,d,0.15528
गाया,RCVerb,6,d,1.30494
था,RCVerb,6,d,0.00331
उस,RCSubj,6,d,0.23243
लड़की,RCSubj,6,d,0.21866
ने,RCSubj,6,d,0.16316
काफी,PreMainVerb,6,d,0.61032
पुरानी,PreMainVerb,6,d,0.27381
है।,MainVerb,6,d,0.21555
वह,NP1,7,a,0.00071
आदमी,NP1,7,a,0.20192
जिसने,RCPn,7,a,0.00896
स्कूटर,RCObj,7,a,1.17145
बड़ी,PreRCVerb,7,a,0.04535
मेहनत,PreRCVerb,7,a,0.65965
से,PreRCVerb,7,a,0.01303
साफ,RCVerb,7,a,0.05122
की,RCVerb,7,a,0.59936
थी,RCVerb,7,a,0.00304
पुराना,PreMainVerb,7,a,0.1609
कर्मचारी,PreMainVerb,7,a,0.21413
है।,MainVerb,7,a,0.58705
वह,NP1,7,b,0.00071
आदमी,NP1,7,b,0.20192
जिसने,RCPn,7,b,0.00896
बड़ी,PreRCVerb,7,b,0.09072
मेहनत,PreRCVerb,7,b,0.97552
से,PreRCVerb,7,b,0.0127
साफ,RCVerb,7,b,0.05091
की,RCVerb,7,b,0.62676
थी,RCVerb,7,b,0.00304
स्कूटर,RCObj,7,b,0.17069
पुराना,PreMainVerb,7,b,0.43536
कर्मचारी,PreMainVerb,7,b,0.21751
है।,MainVerb,7,b,0.58705
वह,NP1,7,c,0.00071
स्कूटर,NP1,7,c,0.20177
जिसको,RCPn,7,c,0.00893
उस,RCSubj,7,c,0.02087
आदमी,RCSubj,7,c,0.65373
ने,RCSubj,7,c,0.01345
बड़ी,PreRCVerb,7,c,0.03343
मेहनत,PreRCVerb,7,c,0.53502
से,PreRCVerb,7,c,0.01303
साफ,RCVerb,7,c,0.05122
किया,RCVerb,7,c,0.80005
था,RCVerb,7,c,0.00246
बैटरी,PreMainVerb,7,c,0.14224
से,PreMainVerb,7,c,0.25266
चलती,MainVerb,7,c,0.46724
है।,MainVerb,7,c,0.80715
वह,NP1,7,d,0.00071
स्कूटर,NP1,7,d,0.20177
जिसको,RCPn,7,d,0.00893
बड़ी,PreRCVerb,7,d,0.0908
मेहनत,PreRCVerb,7,d,0.97616
से,PreRCVerb,7,d,0.0127
साफ,RCVerb,7,d,0.05091
किया,RCVerb,7,d,0.69147
था,RCVerb,7,d,0.00246
उस,RCSubj,7,d,0.18192
आदमी,RCSubj,7,d,0.1748
ने,RCSubj,7,d,0.16311
बैटरी,PreMainVerb,7,d,0.67917
से,PreMainVerb,7,d,0.11555
चलती,MainVerb,7,d,0.86522
है।,MainVerb,7,d,0.80715
वह,NP1,8,a,0.00054
माली,NP1,8,a,0.11968
जिसने,RCPn,8,a,0.0216
लकड़ी,RCObj,8,a,1.24746
बहुत,PreRCVerb,8,a,0.05304
दिलचस्पी,PreRCVerb,8,a,0.65896
से,PreRCVerb,8,a,0.01315
रखी,RCVerb,8,a,1.95785
थी,RCVerb,8,a,0.0022
बहुत,PreMainVerb,8,a,0.10146
बूढ़ा,PreMainVerb,8,a,0.17496
है।,MainVerb,8,a,0.18512
वह,NP1,8,b,0.00071
माली,NP1,8,b,0.20177
जिसने,RCPn,8,b,0.00893
बहुत,PreRCVerb,8,b,0.07137
दिलचस्पी,PreRCVerb,8,b,0.87761
से,PreRCVerb,8,b,0.01281
रखी,RCVerb,8,b,1.27921
थी,RCVerb,8,b,0.0022
लकड़ी,RCObj,8,b,0.12767
बहुत,PreMainVerb,8,b,0.42439
बूढ़ा,PreMainVerb,8,b,0.17774
है।,MainVerb,8,b,0.18512
वह,NP1,8,c,0.00071
लकड़ी,NP1,8,c,0.20183
जिसको,RCPn,8,c,0.00894
उस,RCSubj,8,c,0.02087
माली,RCSubj,8,c,0.65438
ने,RCSubj,8,c,0.01345
बहुत,PreRCVerb,8,c,0.03391
दिलचस्पी,PreRCVerb,8,c,0.5051
से,PreRCVerb,8,c,0.01315
रखा,RCVerb,8,c,1.51173
था,RCVerb,8,c,0.00218
बहुत,PreMainVerb,8,c,0.10121
विचित्र,PreMainVerb,8,c,0.17467
है।,MainVerb,8,c,0.18502
वह,NP1,8,d,0.00071
लकड़ी,NP1,8,d,0.20183
जिसको,RCPn,8,d,0.00894
बहुत,PreRCVerb,8,d,0.07143
दिलचस्पी,PreRCVerb,8,d,0.87817
से,PreRCVerb,8,d,0.01281
रखा,RCVerb,8,d,1.25915
था,RCVerb,8,d,0.00218
उस,RCSubj,8,d,0.20861
माली,RCSubj,8,d,0.15995
ने,RCSubj,8,d,0.16328
बहुत,PreMainVerb,8,d,0.58669
विचित्र,PreMainVerb,8,d,0.22736
है।,MainVerb,8,d,0.18502
वह,NP1,9,a,0.00071
किसान,NP1,9,a,0.20315
जिसने,RCPn,9,a,0.00892
फसल,RCObj,9,a,1.17007
कल,PreRCVerb,9,a,0.86045
सुबाह,PreRCVerb,9,a,0.01288
मैदान,PreRCVerb,9,a,2.75542
में,PreRCVerb,9,a,0.00997
काटी,RCVerb,9,a,1.03643
थी,RCVerb,9,a,0.00221
बहुत,PreMainVerb,9,a,0.10184
मेहनती,PreMainVerb,9,a,0.17537
है।,MainVerb,9,a,0.18541
वह,NP1,9,b,0.00071
किसान,NP1,9,b,0.20315
जिसने,RCPn,9,b,0.00892
कल,PreRCVerb,9,b,1.17354
सुबाह,PreRCVerb,9,b,0.00882
मैदान,PreRCVerb,9,b,2.09993
में,PreRCVerb,9,b,0.00997
काटी,RCVerb,9,b,1.03643
थी,RCVerb,9,b,0.00221
फसल,RCObj,9,b,0.12819
बहुत,PreMainVerb,9,b,0.42483
मेहनती,PreMainVerb,9,b,0.17815
है।,MainVerb,9,b,0.18541
वह,NP1,9,c,0.00071
फसल,NP1,9,c,0.20188
जिसको,RCPn,9,c,0.00892
उस,RCSubj,9,c,0.02087
किसान,RCSubj,9,c,0.64982
ने,RCSubj,9,c,0.01345
कल,PreRCVerb,9,c,0.66988
सुबाह,PreRCVerb,9,c,0.00648
मैदान,PreRCVerb,9,c,3.62746
में,PreRCVerb,9,c,0.00997
काटा,RCVerb,9,c,1.03576
था,RCVerb,9,c,0.00219
काफी,PreMainVerb,9,c,0.1347
महंगी,PreMainVerb,9,c,0.17755
है।,MainVerb,9,c,0.18851
वह,NP1,9,d,0.00071
फसल,NP1,9,d,0.20188
जिसको,RCPn,9,d,0.00892
कल,PreRCVerb,9,d,1.17301
सुबाह,PreRCVerb,9,d,0.00882
मैदान,PreRCVerb,9,d,2.10004
में,PreRCVerb,9,d,0.00997
काटा,RCVerb,9,d,1.03576
था,RCVerb,9,d,0.00219
उस,RCSubj,9,d,0.20963
किसान,RCSubj,9,d,0.16078
ने,RCSubj,9,d,0.16296
काफी,PreMainVerb,9,d,0.56941
महंगी,PreMainVerb,9,d,0.23275
है।,MainVerb,9,d,0.18851
वह,NP1,10,a,0.00054
टी-टी,NP1,10,a,0.11972
जिसने,RCPn,10,a,0.0216
सिगरेट,RCObj,10,a,0.11409
वेटिंग,PreRCVerb,10,a,0.30473
रूम,PreRCVerb,10,a,2.02515
के,PreRCVerb,10,a,0.0098
सामने,PreRCVerb,10,a,0.15158
मांगी,RCVerb,10,a,1.73915
थी,RCVerb,10,a,0.00333
मेरी,PreMainVerb,10,a,0.22354
मौसी,PreMainVerb,10,a,0.23268
का,PreMainVerb,10,a,0.14965
रिशतेदार,PreMainVerb,10,a,0.72163
है।,MainVerb,10,a,0.77936
वह,NP1,10,b,0.00054
टी-टी,NP1,10,b,0.11972
जिसने,RCPn,10,b,0.0216
वेटिंग,PreRCVerb,10,b,0.11392
रूम,PreRCVerb,10,b,1.7791
के,PreRCVerb,10,b,0.0098
सामने,PreRCVerb,10,b,0.15158
मांगी,RCVerb,10,b,1.73915
थी,RCVerb,10,b,0.00333
सिगरेट,RCObj,10,b,0.18544
मेरी,PreMainVerb,10,b,0.50783
मौसी,PreMainVerb,10,b,0.23621
का,PreMainVerb,10,b,0.14965
रिशतेदार,PreMainVerb,10,b,0.72163
है।,MainVerb,10,b,0.77936
वह,NP1,10,c,0.00071
सिगरेट,NP1,10,c,0.20153
जिसको,RCPn,10,c,0.00894
उस,RCSubj,10,c,0.02087
टी-टी,RCSubj,10,c,0.69582
ने,RCSubj,10,c,0.0291
वेटिंग,PreRCVerb,10,c,0.04057
रूम,PreRCVerb,10,c,0.63133
के,PreRCVerb,10,c,0.0098
सामने,PreRCVerb,10,c,0.15158
मांगा,RCVerb,10,c,1.71165
था,RCVerb,10,c,0.00329
विलायत,PreMainVerb,10,c,0.18544
से,PreMainVerb,10,c,0.25266
आती,MainVerb,10,c,0.48687
है।,MainVerb,10,c,0.82808
वह,NP1,10,d,0.00071
सिगरेट,NP1,10,d,0.20153
जिसको,RCPn,10,d,0.00894
वेटिंग,PreRCVerb,10,d,0.07699
रूम,PreRCVerb,10,d,0.92836
के,PreRCVerb,10,d,0.00927
सामने,PreRCVerb,10,d,0.15117
मांगा,RCVerb,10,d,1.26466
था,RCVerb,10,d,0.00329
उस,RCSubj,10,d,0.23149
टी-टी,RCSubj,10,d,0.17741
ने,RCSubj,10,d,0.52379
विलायत,PreMainVerb,10,d,0.39004
से,PreMainVerb,10,d,0.11555
आती,MainVerb,10,d,0.88434
है।,MainVerb,10,d,0.82808
वह,NP1,11,a,0.00054
बढ़ई,NP1,11,a,0.75438
जिसने,RCPn,11,a,0.20923
अलमारी,RCObj,11,a,0.2106
नीम,PreRCVerb,11,a,0.71156
के,PreRCVerb,11,a,0.19965
पेड़,PreRCVerb,11,a,0.55796
के,PreRCVerb,11,a,0.09645
नीचे,PreRCVerb,11,a,0.38014
बनायी,RCVerb,11,a,0.88856
थी,RCVerb,11,a,0.12901
यहाँ,PreMainVerb,11,a,0.50099
कई,PreMainVerb,11,a,0.22347
सालों,PreMainVerb,11,a,0.22885
से,PreMainVerb,11,a,0.17098
काम,MainVerb,11,a,0.69343
कर,MainVerb,11,a,0.95449
रहा,MainVerb,11,a,0.14302
है।,MainVerb,11,a,0.56226
वह,NP1,11,b,0.00054
बढ़ई,NP1,11,b,0.75438
जिसने,RCPn,11,b,0.20923
नीम,PreRCVerb,11,b,0.21061
के,PreRCVerb,11,b,0.13831
पेड़,PreRCVerb,11,b,0.71156
के,PreRCVerb,11,b,0.09645
नीचे,PreRCVerb,11,b,0.38014
बनायी,RCVerb,11,b,0.88856
थी,RCVerb,11,b,0.12901
अलमारी,RCObj,11,b,0.42321
यहाँ,PreMainVerb,11,b,0.49953
कई,PreMainVerb,11,b,0.22719
सालों,PreMainVerb,11,b,0.22885
से,PreMainVerb,11,b,0.17098
काम,MainVerb,11,b,0.69343
कर,MainVerb,11,b,0.95449
रहा,MainVerb,11,b,0.14302
है।,MainVerb,11,b,0.56226
वह,NP1,11,c,0.00054
अलमारी,NP1,11,c,0.7541
जिसको,RCPn,11,c,0.20924
उस,RCSubj,11,c,0.26311
बढ़ई,RCSubj,11,c,0.22969
ने,RCSubj,11,c,0.16327
नीम,PreRCVerb,11,c,0.71185
के,PreRCVerb,11,c,0.09648
पेड़,PreRCVerb,11,c,0.90408
के,PreRCVerb,11,c,0.09645
नीचे,PreRCVerb,11,c,0.38014
बनाया,RCVerb,11,c,0.88983
था,RCVerb,11,c,0.12714
लकड़ी,PreMainVerb,11,c,0.42442
की,PreMainVerb,11,c,0.54704
है।,MainVerb,11,c,0.47276
वह,NP1,11,d,0.00054
अलमारी,NP1,11,d,0.7541
जिसको,RCPn,11,d,0.20924
नीम,PreRCVerb,11,d,0.21062
के,PreRCVerb,11,d,0.13831
पेड़,PreRCVerb,11,d,0.71157
के,PreRCVerb,11,d,0.09645
नीचे,PreRCVerb,11,d,0.38014
बनाया,RCVerb,11,d,0.88983
था,RCVerb,11,d,0.12714
उस,RCSubj,11,d,0.51426
बढ़ई,RCSubj,11,d,0.20797
ने,RCSubj,11,d,0.16327
लकड़ी,PreMainVerb,11,d,0.71181
की,PreMainVerb,11,d,1.00073
है।,MainVerb,11,d,0.47276
वह,NP1,12,a,0.00071
दुकानदार,NP1,12,a,0.2016
जिसने,RCPn,12,a,0.00891
पुरानी,RCObj,12,a,0.09365
बन्दूक,RCObj,12,a,0.97647
इस,PreRCVerb,12,a,0.00761
साल,PreRCVerb,12,a,0.39732
एक-दो,PreRCVerb,12,a,0.03336
बार,PreRCVerb,12,a,0.45459
म्यूजियम,PreRCVerb,12,a,0.82475
में,PreRCVerb,12,a,0.00975
दिखायी,RCVerb,12,a,1.98284
थी,RCVerb,12,a,0.0022
मशहूर,PreMainVerb,12,a,0.13998
संग्रहकर्ता,PreMainVerb,12,a,0.17105
है।,MainVerb,12,a,0.56752
वह,NP1,12,b,0.00071
दुकानदार,NP1,12,b,0.2016
जिसने,RCPn,12,b,0.00891
इस,PreRCVerb,12,b,0.01067
साल,PreRCVerb,12,b,0.5595
एक-दो,PreRCVerb,12,b,0.02214
बार,PreRCVerb,12,b,0.40702
म्यूजियम,PreRCVerb,12,b,0.92161
में,PreRCVerb,12,b,0.00975
दिखायी,RCVerb,12,b,1.75947
थी,RCVerb,12,b,0.0022
पुरानी,RCObj,12,b,0.13939
बन्दूक,RCObj,12,b,0.17115
मशहूर,PreMainVerb,12,b,0.55323
संग्रहकर्ता,PreMainVerb,12,b,0.17442
है।,MainVerb,12,b,0.56752
वह,NP1,12,c,0.00071
बन्दूक,NP1,12,c,0.20173
जिसको,RCPn,12,c,0.00893
उस,RCSubj,12,c,0.02087
दुकानदार,RCSubj,12,c,0.65485
ने,RCSubj,12,c,0.01344
इस,PreRCVerb,12,c,0.00519
साल,PreRCVerb,12,c,0.30173
एक-दो,PreRCVerb,12,c,0.0222
बार,PreRCVerb,12,c,0.40967
म्यूजियम,PreRCVerb,12,c,0.92161
में,PreRCVerb,12,c,0.00975
दिखाया,RCVerb,12,c,2.00942
था,RCVerb,12,c,0.00218
अंग्रेज़ो,PreMainVerb,12,c,0.08549
के,PreMainVerb,12,c,0.65981
ज़माने,PreMainVerb,12,c,0.25841
की,PreMainVerb,12,c,0.98127
है।,MainVerb,12,c,0.45066
वह,NP1,12,d,0.00071
बन्दूक,NP1,12,d,0.20173
जिसको,RCPn,12,d,0.00893
इस,PreRCVerb,12,d,0.01068
साल,PreRCVerb,12,d,0.55991
एक-दो,PreRCVerb,12,d,0.02214
बार,PreRCVerb,12,d,0.40702
म्यूजियम,PreRCVerb,12,d,0.92161
में,PreRCVerb,12,d,0.00975
दिखाया,RCVerb,12,d,1.75311
था,RCVerb,12,d,0.00218
उस,RCSubj,12,d,0.20854
दुकानदार,RCSubj,12,d,0.15998
ने,RCSubj,12,d,0.16327
अंग्रेज़ो,PreMainVerb,12,d,0.73701
के,PreMainVerb,12,d,0.32497
ज़माने,PreMainVerb,12,d,0.41842
की,PreMainVerb,12,d,0.98127
है।,MainVerb,12,d,0.45066
वह,NP1,13,a,0.00071
प्रोफेसर,NP1,13,a,0.20125
जिसने,RCPn,13,a,0.00894
पहेली,RCObj,13,a,0.07692
क्लास,PreRCVerb,13,a,0.92796
में,PreRCVerb,13,a,0.01161
सुलझाई,RCVerb,13,a,1.28829
थी,RCVerb,13,a,0.00221
गणित,PreMainVerb,13,a,0.12821
बहुत,PreMainVerb,13,a,0.42477
अच्छा,PreMainVerb,13,a,0.17856
पढ़ाते,MainVerb,13,a,0.22084
हैं।,MainVerb,13,a,0.13605
वह,NP1,13,b,0.00071
प्रोफेसर,NP1,13,b,0.20125
जिसने,RCPn,13,b,0.00894
क्लास,PreRCVerb,13,b,1.16995
में,PreRCVerb,13,b,0.01139
सुलझाई,RCVerb,13,b,1.01819
थी,RCVerb,13,b,0.00221
पहेली,RCObj,13,b,0.16603
गणित,PreMainVerb,13,b,0.23847
बहुत,PreMainVerb,13,b,0.58347
अच्छा,PreMainVerb,13,b,0.17856
पढ़ाते,MainVerb,13,b,0.22084
हैं।,MainVerb,13,b,0.13605
