Sent,Item_Id,Cond
"वह_ग्राहक,@NP1 जिसने@RCPn बहुत_जल्दीबाजी_में@PreRCVerb खरीदी_थी@RCVerb कमीज,@RCObj इस_दुकान_में@PreMainVerb कई_बार@PreMainVerb आ_चुका_है।@MainVerb",14,b
"वह_कमीज,@NP1 जिसको@RCPn उस_ग्राहक_ने@RCSubj बहुत_जल्दीबाजी_में@PreRCVerb खरीदा_था,@RCVerb जापान_में@PreMainVerb बनती_है।@MainVerb",14,c
"वह_कमीज,@NP1 जिसको@RCPn बहुत_जल्दीबाजी_में@PreRCVerb खरीदा_था@RCVerb उस_ग्राहक_ने,@RCSubj जापान_में@PreMainVerb बनती_है।@MainVerb",14,d
"वह_लड़का,@NP1 जिसने@RCPn मोटरसाइकिल@RCObj पिछले_हफते@PreRCVerb खरीदी_थी,@RCVerb डाक्टरी_की@PreMainVerb पढ़ाई_कर_रहा_है।@MainVerb",15,a
"वह_लड़का,@NP1 जिसने@RCPn पिछले_हफते@PreRCVerb खरीदी_थी@RCVerb मोटरसाइकिल,@RCObj डाक्टरी_की@PreMainVerb पढ़ाई_कर_रहा_है।@MainVerb",15,b
"वह_मोटरसाइकिल,@NP1 जिसको@RCPn उस_लड़के_ने@RCSubj पिछले_हफते@PreRCVerb खरीदा_था,@RCVerb बजाज_की@PreMainVerb नई_पेशकश@PreMainVerb है।@MainVerb",15,c
"वह_मोटरसाइकिल,@NP1 जिसको@RCPn पिछले_हफते@PreRCVerb खरीदा_था@RCVerb उस_लड़के_ने,@RCSubj बजाज_की@PreMainVerb नई_पेशकश@PreMainVerb है।@MainVerb",15,d
"वह_बच्ची,@NP1 जिसने@RCPn डिब्बी@RCObj धीरे_से@PreRCVerb चुपके-चुपके@PreRCVerb खोली_थी,@RCVerb बहुत_शरारती@PreMainVerb है।@MainVerb",16,a
"वह_बच्ची,@NP1 जिसने@RCPn धीरे_से@PreRCVerb चुपके-चुपके@PreRCVerb खोली_थी@RCVerb डिब्बी,@RCObj बहुत_शरारती@PreMainVerb है।@MainVerb",16,b
"वह_डिब्बी,@NP1 जिसको@RCPn उस_बच्ची_ने@RCSubj धीरे_से@PreRCVerb चुपके-चुपके@PreRCVerb खोला_था,@RCVerb मेरी@PreMainVerb दादी_की@PreMainVerb है।@MainVerb",16,c
"वह_डिब्बी,@NP1 जिसको@RCPn धीरे_से@PreRCVerb चुपके-चुपके@PreRCVerb खोला_था@RCVerb उस_बच्ची_ने,@RCSubj मेरी@PreMainVerb दादी_की@PreMainVerb है।@MainVerb",16,d
"वह_आदमी,@NP1 जिसने@RCPn टाई@RCObj बड़ी_स्टाईल_से@PreRCVerb पहनी_हुई_थी,@RCVerb हमारे_कालेज_में@PreMainVerb काम_करता_है।@MainVerb",17,a
"वह_आदमी,@NP1 जिसने@RCPn बड़ी_स्टाईल_से@PreRCVerb पहनी_हुई_थी@RCVerb टाई,@RCObj हमारे_कालेज_में@PreMainVerb काम_करता_है।@MainVerb",17,b
"वह_टाई,@NP1 जिसको@RCPn उस_आदमी_ने@RCSubj बड़ी_स्टाईल_से@PreRCVerb पहना_हुआ_था,@RCVerb आज_कल@PreMainVerb फैशन_में@PreMainVerb है।@MainVerb",17,c
"वह_टाई,@NP1 जिसको@RCPn बड़ी_स्टाईल_से@PreRCVerb पहना_हुआ_था@RCVerb उस_आदमी_ने,@RCSubj आज_कल@PreMainVerb फैशन_में@PreMainVerb है।@MainVerb",17,d
"वह_औरत,@NP1 जिसने@RCPn लाल_गाड़ी@RCObj पिछले_महीने@PreRCVerb खरीदी_थी,@RCVerb मेरे@PreMainVerb बेटे_की@PreMainVerb टीचर@PreMainVerb है।@MainVerb",18,a
"वह_औरत,@NP1 जिसने@RCPn पिछले_महीने@PreRCVerb खरीदी_थी@RCVerb लाल_गाड़ी,@RCObj मेरे@PreMainVerb बेटे_की@PreMainVerb टीचर@PreMainVerb है।@MainVerb",18,b
"वह_लाल_गाड़ी,@NP1 जिसको@RCPn उस_औरत_ने@RCSubj पिछले_महीने@PreRCVerb खरीदा_था,@RCVerb लोगो_में@PreMainVerb काफी_लोकप्रिय@PreMainVerb है।@MainVerb",18,c
"वह_लाल_गाड़ी,@NP1 जिसको@RCPn पिछले_महीने@PreRCVerb खरीदा_था@RCVerb उस_औरत_ने,@RCSubj लोगो_में@PreMainVerb काफी_लोकप्रिय@PreMainVerb है।@MainVerb",18,d
"वह_डाक्टर,@NP1 जिसने@RCPn दवाईयां@RCObj कल_शाम@PreRCVerb फेकीं_थीं,@RCVerb बहुत_होशियार@PreMainVerb है।@MainVerb",19,a
"वह_डाक्टर,@NP1 जिसने@RCPn कल_शाम@PreRCVerb फेकीं_थीं@RCVerb दवाईयां,@RCObj बहुत_होशियार@PreMainVerb है।@MainVerb",19,b
"वह_दवाईयां,@NP1 जिनको@RCPn उस_डाक्टर_ने@RCSubj कल_शाम@PreRCVerb फेका_था,@RCVerb खराब@PreMainVerb हो_गईं_थीं।@MainVerb",19,c
"वह_दवाईयां,@NP1 जिनको@RCPn कल_शाम@PreRCVerb फेका_था@RCVerb उस_डाक्टर_ने,@RCSubj खराब@PreMainVerb हो_गईं_थीं।@MainVerb",19,d
"वह_इंजीनियर,@NP1 जिसने@RCPn वह_बिल्डिंग@RCObj बहुत_धीरे-धीरे@PreRCVerb बनायी_थी,@RCVerb मरे@PreMainVerb दोस्त_की@PreMainVerb कंपनी_में@PreMainVerb काम_करता_है।@MainVerb",20,a
"वह_इंजीनियर,@NP1 जिसने@RCPn बहुत_धीरे-धीरे@PreRCVerb बनायी_थी@RCVerb वह_बिल्डिंग,@RCObj मरे@PreMainVerb दोस्त_की@PreMainVerb कंपनी_में@PreMainVerb काम_करता_है।@MainVerb",20,b
"हमारी_बिल्डिंग,@NP1 जिसको@RCPn उस_इंजीनियर_ने@RCSubj बहुत_धीरे-धीरे@PreRCVerb बनाया_था,@RCVerb बहुत_सुनसान_इलाके_में@PreMainVerb है।@MainVerb",20,c
"हमारी_बिल्डिंग,@NP1 जिसको@RCPn बहुत_धीरे-धीरे@PreRCVerb बनाया_था@RCVerb उस_इंजीनियर_ने,@RCSubj बहुत_सुनसान_इलाके_में@PreMainVerb है।@MainVerb",20,d
"वह_लड़की,@NP1 जिसने@RCPn सारी_फाइलें@RCObj पिछले_हफते@PreRCVerb शाम_के_समय@PreRCVerb उठायीं_थीं,@RCVerb बहुत_अच्छा_गाना@PreMainVerb गाती_है।@MainVerb",21,a
"वह_लड़की,@NP1 जिसने@RCPn पिछले_हफते@PreRCVerb शाम_के_समय@PreRCVerb उठायीं_थीं@RCVerb सारी_फाइलें,@RCObj बहुत_अच्छा_गाना@PreMainVerb गाती_है।@MainVerb",21,b
"वह_फाइलें,@NP1 जिनको@RCPn उस_लड़की_ने@RCSubj पिछले_हफते@PreRCVerb शाम_के_समय@PreRCVerb उठाया_था,@RCVerb दो_साल_से@PreMainVerb एक_जगह_पर@PreMainVerb सड़_रहीं_थीं।@MainVerb",21,c
"वह_फाइलें,@NP1 जिनको@RCPn पिछले_हफते@PreRCVerb शाम_के_समय@PreRCVerb उठाया_था@RCVerb उस_लड़की_ने,@RCSubj दो_साल_से@PreMainVerb एक_जगह_पर@PreMainVerb सड़_रहीं_थीं।@MainVerb",21,d
"वह_हलवाई,@NP1 जिसने@RCPn कढाई@RCObj बड़ी_सावधानी_से@PreRCVerb पकड़ी_थी,@RCVerb इस_मोहल्ले_में@PreMainVerb एक_नई_दुकान@PreMainVerb खोल_रहा_है।@MainVerb",22,a
"वह_हलवाई,@NP1 जिसने@RCPn बड़ी_सावधानी_से@PreRCVerb पकड़ी_थी@RCVerb कढाई,@RCObj इस_मोहल्ले_में@PreMainVerb एक_नई_दुकान@PreMainVerb खोल_रहा_है।@MainVerb",22,b
"वह_कढाई,@NP1 जिसको@RCPn उस_हलवाई_ने@RCSubj बड़ी_सावधानी_से@PreRCVerb पकड़ा_था,@RCVerb असली_पीतल_से@PreMainVerb बनी_है।@MainVerb",22,c
"वह_कढाई,@NP1 जिसको@RCPn बड़ी_सावधानी_से@PreRCVerb पकड़ा_था@RCVerb उस_हलवाई_ने,@RCSubj असली_पीतल_से@PreMainVerb बनी_है।@MainVerb",22,d
"वह_कुली,@NP1 जिसने@RCPn बड़ी_अटैची@RCObj एक_झटके_में@PreRCVerb उठा_ली_थी,@RCVerb रात_में@PreMainVerb टैक्सी@PreMainVerb चलाता_है।@MainVerb",23,a
"वह_कुली,@NP1 जिसने@RCPn एक_झटके_में@PreRCVerb उठा_ली_थी@RCVerb बड़ी_अटैची,@RCObj रात_में@PreMainVerb टैक्सी@PreMainVerb चलाता_है।@MainVerb",23,b
"वह_बड़ी_अटैची,@NP1 जिसको@RCPn उस_कुली_ने@RCSubj एक_झटके_में@PreRCVerb उठा_लिया_था,@RCVerb ट्रेन_में@PreMainVerb गुम_हो_गयी।@MainVerb",23,c
"वह_बड़ी_अटैची,@NP1 जिसको@RCPn एक_झटके_में@PreRCVerb उठा_लिया_था@RCVerb उस_कुली_ने,@RCSubj ट्रेन_में@PreMainVerb गुम_हो_गयी।@MainVerb",23,d
"वह_अध्यापक,@NP1 जिसने@RCPn किताबें@RCObj पिछले_साल@PreRCVerb गर्मियों_में@PreRCVerb बेचीं_थीं,@RCVerb बरेली_का@PreMainVerb रहनेवाला है।@MainVerb",24,a
"वह_अध्यापक,@NP1 जिसने@RCPn पिछले_साल@PreRCVerb गर्मियों_में@PreRCVerb बेचीं_थीं@RCVerb किताबें,@RCObj बरेली_का@PreMainVerb रहनेवाला है।@MainVerb",24,b
"वह_किताबें,@NP1 जिनको@RCPn उस_अध्यापक_ने@RCSubj पिछले_साल@PreRCVerb गर्मियों_में@PreRCVerb बेचा_था,@RCVerb पुरानी@PreMainVerb हो_रहीं_थीं।@MainVerb",24,c
"वह_किताबें,@NP1 जिनको@RCPn पिछले_साल@PreRCVerb गर्मियों_में@PreRCVerb बेचा_था@RCVerb उस_अध्यापक_ने,@RCSubj पुरानी@PreMainVerb हो_रहीं_थीं।@MainVerb",24,d
